auto_proc,AutoProc
auto_proc_integration,AutoProcIntegration
auto_proc_program,AutoProcProgram
auto_proc_program_attachment,AutoProcProgramAttachment
auto_proc_program_message,AutoProcProgramMessage
auto_proc_scaling,AutoProcScaling
auto_proc_scaling_statistics,AutoProcScalingStatistics
auto_proc_status,AutoProcStatus
sample,BLSample
session,BLSession
beamline_setup,BeamLineSetup
container,Container
dewar,Dewar
component_type,ComponentType
crystal,Crystal
data_collection,DataCollection
data_collection_group,DataCollectionGroup
detector,Detector
energy_scan,EnergyScan
image_quality_indicators,ImageQualityIndicators
laboratory,Laboratory
lab_contact,LabContact
person,Person
proposal,Proposal
protein,Protein
robot_action,RobotAction
screening,Screening
shipping,Shipping
